Entity,Year,Reported Cases,US Population
United States,1921,280869,108964000
United States,1922,,110484000
United States,1923,,112387000
United States,1924,511305,114558000
United States,1925,225027,116284000
United States,1926,,117857000
United States,1927,,119502000
United States,1928,,120971000
United States,1929,,122245000
United States,1930,,123668000
United States,1931,,124633000
United States,1932,,125436000
United States,1933,,126180000
United States,1934,,126978000
United States,1935,,127859000
United States,1936,,128681000
United States,1937,,129464000
United States,1938,822811,130476000
United States,1939,403317,131539000
United States,1940,291162,132637000
United States,1941,804134,133922000
United States,1942,547393,135386000
United States,1943,633627,137272000
United States,1944,630291,138937000
United States,1945,146013,140474000
United States,1946,649843,141940000
United States,1947,222375,144688000
United States,1948,615104,147203000
United States,1949,625281,149770000
United States,1950,319124,157813040
United States,1951,530118,160024871
United States,1952,683077,162530196
United States,1953,449146,165260027
United States,1954,682720,168152385
United States,1955,555156,171152291
United States,1956,611936,174211875
United States,1957,486799,177290268
United States,1958,763094,180353310
United States,1959,406162,183373044
United States,1960,441703,186326215
United States,1961,423919,189192675
United States,1962,481530,191953977
United States,1963,385156,194592775
United States,1964,458083,197094531
United States,1965,261904,199452508
United States,1966,204136,201657141
United States,1967,62705,203717833
United States,1968,22231,205672498
United States,1969,25826,207573866
United States,1970,47351,209463865
United States,1971,75290,211355529
United States,1972,32275,213250350
United States,1973,26690,215164616
United States,1974,22094,217113584
United States,1975,24374,219108358
United States,1976,41126,221161377
United States,1977,57345,223274855
United States,1978,26871,225436004
United States,1979,13597,227624232
United States,1980,13506,229825004
United States,1981,3124,232035086
United States,1982,1714,234261242
United States,1983,1497,236510688
United States,1984,2587,238794274
United States,1985,2822,241119752
United States,1986,6282,243495805
United States,1987,3655,245920994
United States,1988,2296,248381577
United States,1989,18193,250857751
United States,1990,27786,253339097
United States,1991,9643,255807342
United States,1992,2237,258275919
United States,1993,312,260803255
United States,1994,963,263468980
United States,1995,309,266323717
United States,1996,508,269393632
United States,1997,138,272643340
United States,1998,100,275986072
United States,1999,100,279300030
United States,2000,86,282496310
United States,2001,116,285544778
United States,2002,44,288467308
United States,2003,56,291290823
United States,2004,37,294063120
United States,2005,66,296820296
United States,2006,55,299564470
United States,2007,43,302284564
United States,2008,140,304989064
United States,2009,71,306076000
United States,2010,63,308641000
United States,2011,220,311051000
United States,2012,55,313335000
United States,2013,187,315537000
United States,2014,667,317719000
United States,2015,188,319929000
